"__typename","action","amount","assetPriceUSD","id","reserve","timestamp","txHash","user"
"Repay","Repay","524854798","0.9995914","8222513:0:0xe3057d5f714ea3f54933e2a8fee7e1a17253bec09dbb9381312bfc81b739f823:7:7","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647812289,"0xe3057d5f714ea3f54933e2a8fee7e1a17253bec09dbb9381312bfc81b739f823","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}"
"Repay","Repay","539850631","0.9995914","8222609:0:0xb831cd1abcd24d4063007dd6b82326e5fec4a8e66c5e292ad7dddbdb0fee1dca:7:7","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647812456,"0xb831cd1abcd24d4063007dd6b82326e5fec4a8e66c5e292ad7dddbdb0fee1dca","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}"
"Repay","Repay","549847845","0.9995914","8222687:0:0x58f65bb056920b0bd11cbd8382097b4b0c35a64c2a9e8bc7eaaf0da8f5c390ad:7:7","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647812604,"0x58f65bb056920b0bd11cbd8382097b4b0c35a64c2a9e8bc7eaaf0da8f5c390ad","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}"
"Repay","Repay","564843675","0.9995914","8222748:0:0x8df98c566cd8d53f34caace1e30eeb76647c37e93f5454679f48b7f804bab30f:7:7","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647812682,"0x8df98c566cd8d53f34caace1e30eeb76647c37e93f5454679f48b7f804bab30f","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}"
"Repay","Repay","579839503","0.9995914","8222837:0:0x713b99cdf6778a0e60c8425fb045c5de06463a157553643eca1435d7e56ac359:7:7","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647812737,"0x713b99cdf6778a0e60c8425fb045c5de06463a157553643eca1435d7e56ac359","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}"
"Repay","Repay","589836622","0.9995914","8222912:0:0x8915120287f50d850b2a529995a103cde667744c189d18d94a0c109dda07c984:7:7","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647812890,"0x8915120287f50d850b2a529995a103cde667744c189d18d94a0c109dda07c984","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}"
"Repay","Repay","609831060","0.9995914","8222956:0:0x0717823d393f884fd871f4ffddedb57e59352a71e19ea6189a7005971782c7d0:7:7","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647812983,"0x0717823d393f884fd871f4ffddedb57e59352a71e19ea6189a7005971782c7d0","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}"
"Repay","Repay","624824326","0.9995914","8222994:0:0xe62447028ee6590d5f51c7847a0bf9aa9f69206434888aa3b203d8ffce5df145:7:7","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647813048,"0xe62447028ee6590d5f51c7847a0bf9aa9f69206434888aa3b203d8ffce5df145","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}"
"Repay","Repay","639820086","0.9995914","8223045:0:0xc10ba12c71c52ce46e7b18118b1f19c635c4cde9ed8dff86741d7b0639b3f84f:7:7","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647813146,"0xc10ba12c71c52ce46e7b18118b1f19c635c4cde9ed8dff86741d7b0639b3f84f","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}"
"Repay","Repay","649817247","0.99991224","8223118:0:0xf269aebe363300f459b124e3054665ba69a2b21b97bf320702d5f5e3ea90d40f:7:7","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647813284,"0xf269aebe363300f459b124e3054665ba69a2b21b97bf320702d5f5e3ea90d40f","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}"
"Repay","Repay","669811595","0.99991224","8223223:0:0x8cd4baf91fb951c33638b0a348ff501e5511d7fdb68ed581274d503f44708852:7:7","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647813442,"0x8cd4baf91fb951c33638b0a348ff501e5511d7fdb68ed581274d503f44708852","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}"
"Repay","Repay","684807347","0.99991224","8223259:1:0x8f5e74f5eae69aeccc0ccfb23438372b07decef4df00f2ea5926f8cc952f9e19:9:9","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647813490,"0x8f5e74f5eae69aeccc0ccfb23438372b07decef4df00f2ea5926f8cc952f9e19","{""__typename"":""User"",""id"":""0xddb8064b30cb2069b89ab1d49acc7bd118b28acd""}"
"Repay","Repay","1866159301","0.99991224","8225948:0:0x09458b62486992bbf617e8a1a32f44f757a8ad39a2fe7fdd50efecb9c8a58f24:6:6","{""__typename"":""Reserve"",""decimals"":6,""symbol"":""USDC""}",1647818440,"0x09458b62486992bbf617e8a1a32f44f757a8ad39a2fe7fdd50efecb9c8a58f24","{""__typename"":""User"",""id"":""0x1794ca36ad1755b1505779f5a1f9217fb5290aad""}"
